location,year,category,rank,query
Global,2019,Searches,1,India vs South Africa
Global,2019,Searches,2,Cameron Boyce
Global,2019,Searches,3,Copa America
Global,2019,Searches,4,Bangladesh vs India
Global,2019,Searches,5,iPhone 11
Global,2019,News,1,Copa America
Global,2019,News,2,Notre Dame
Global,2019,News,3,ICC Cricket World Cup
Global,2019,News,4,Hurricane Dorian
Global,2019,News,5,Rugby World Cup
Global,2019,People,1,Antonio Brown
Global,2019,People,2,Neymar
Global,2019,People,3,James Charles
Global,2019,People,4,Jussie Smollett
Global,2019,People,5,Kevin Hart
Global,2019,Actors,1,Jussie Smollett
Global,2019,Actors,2,Kevin Hart
Global,2019,Actors,3,Joaquin Phoenix
Global,2019,Actors,4,Keanu Reeves
Global,2019,Actors,5,Lori Loughlin
Global,2019,Athletes,1,Antonio Brown
Global,2019,Athletes,2,Neymar
Global,2019,Athletes,3,Bryce Harper
Global,2019,Athletes,4,David Ortiz
Global,2019,Athletes,5,Alex Morgan
Global,2019,Movies,1,Avengers: Endgame
Global,2019,Movies,2,Joker
Global,2019,Movies,3,Captain Marvel
Global,2019,Movies,4,Toy Story 4
Global,2019,Movies,5,Aquaman
Global,2019,Passings,1,Cameron Boyce
Global,2019,Passings,2,Nipsey Hussle
Global,2019,Passings,3,Julen
Global,2019,Passings,4,Karl Lagerfeld
Global,2019,Passings,5,Emiliano Sala
Global,2019,Songs,1,Old Town Road
Global,2019,Songs,2,7 Rings
Global,2019,Songs,3,Shallow
Global,2019,Songs,4,Señorita
Global,2019,Songs,5,Memories
Global,2019,TV Shows,1,Game of Thrones
Global,2019,TV Shows,2,Stranger Things
Global,2019,TV Shows,3,Chernobyl
Global,2019,TV Shows,4,When They See Us
Global,2019,TV Shows,5,The Umbrella Academy
Global,2019,Consumer Brands,1,iPhone 11
Global,2019,Consumer Brands,2,Samsung Galaxy S10
Global,2019,Consumer Brands,3,AirPods
Global,2019,Consumer Brands,4,Disney Plus
Global,2019,Consumer Brands,5,Nintendo Switch
Global,2019,Fashion Labels,1,Nike
Global,2019,Fashion Labels,2,Adidas
Global,2019,Fashion Labels,3,Gucci
Global,2019,Fashion Labels,4,Louis Vuitton
Global,2019,Fashion Labels,5,Zara
Global,2019,Food Recipes,1,Shepherd's Pie
Global,2019,Food Recipes,2,Chicken Parmesan
Global,2019,Food Recipes,3,Lasagna
Global,2019,Food Recipes,4,Beef Stroganoff
Global,2019,Food Recipes,5,Chicken Alfredo
Global,2020,Consumer Brands,1,Zoom
Global,2020,Consumer Brands,2,iPhone 12
Global,2020,Consumer Brands,3,Samsung Galaxy S20
Global,2020,Consumer Brands,4,PlayStation 5
Global,2020,Consumer Brands,5,Amazon
Global,2020,Technology,1,AI
Global,2020,Technology,2,Blockchain
Global,2020,Technology,3,Quantum Computing
Global,2020,Technology,4,Metaverse
Global,2020,Technology,5,Cybersecurity
Global,2020,Smartphones,1,iPhone 12
Global,2020,Smartphones,2,Samsung Galaxy S20
Global,2020,Smartphones,3,Xiaomi Redmi Note 8
Global,2020,Smartphones,4,OnePlus 7T
Global,2020,Smartphones,5,Google Pixel 4
Global,2020,Laptops,1,HP Spectre
Global,2020,Laptops,2,Asus ZenBook
Global,2020,Laptops,3,Dell XPS
Global,2020,Laptops,4,MacBook Air
Global,2020,Laptops,5,Lenovo ThinkPad
Global,2020,Wearable Tech,1,Samsung Galaxy Watch
Global,2020,Wearable Tech,2,Fitbit
Global,2020,Wearable Tech,3,Apple Watch
Global,2020,Wearable Tech,4,Garmin
Global,2020,Wearable Tech,5,Oura Ring
Global,2020,Fashion Brands,1,Gucci
Global,2020,Fashion Brands,2,Louis Vuitton
Global,2020,Fashion Brands,3,Nike
Global,2020,Fashion Brands,4,Adidas
Global,2020,Fashion Brands,5,Prada
Global,2020,Food Recipes,1,Dalgona Coffee
Global,2020,Food Recipes,2,Banana Bread
Global,2020,Food Recipes,3,Sourdough Bread
Global,2020,Food Recipes,4,Pancake Cereal
Global,2020,Food Recipes,5,Focaccia Bread
Global,2020,Food & Drink,1,Pizza
Global,2020,Food & Drink,2,Burger
Global,2020,Food & Drink,3,Sushi
Global,2020,Food & Drink,4,Vegan
Global,2020,Food & Drink,5,Starbucks
Global,2020,Movies,1,Parasite
Global,2020,Movies,2,1917
Global,2020,Movies,3,Black Panther
Global,2020,Movies,4,365 Dni
Global,2020,Movies,5,Contagion
Global,2020,Music Artists,1,Taylor Swift
Global,2020,Music Artists,2,BTS
Global,2020,Music Artists,3,Drake
